Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason
p028,B05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,JU3237,1,,
p028,C05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,VX34,1,,
p028,D05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,NIC1667,1,,
p028,E05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,PB420,1,,
p028,F05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,ED3102,1,,
p028,A06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,ECA2666,1,,
p028,B06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,JU3237,1,,
p028,C06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,VX34,1,,
p028,D06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,NIC1667,1,,
p028,E06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,PB420,1,,
p028,F06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,ED3102,1,,
p028,A07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,ECA2666,1,,
p028,B07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,JU3237,1,,
p028,C07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,VX34,1,,
p028,D07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,NIC1667,1,,
p028,E07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,PB420,1,,
p028,F07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,ED3102,1,,
p028,A08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,ECA2666,1,,
p028,B08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,JU3237,1,,
p028,C08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,VX34,1,,
p028,D08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,NIC1667,1,,
p028,E08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,PB420,1,,
p028,F08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,ED3102,1,,
p028,A09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,ECA2666,1,,
p028,B09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,JU3237,1,,
p028,C09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,VX34,1,,
p028,D09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,NIC1667,1,,
p028,E09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,PB420,1,,
p028,F09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,ED3102,1,,
p028,A10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,ECA2666,1,,
p028,B10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,JU3237,1,,
p028,C10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,VX34,1,,
p028,D10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,NIC1667,1,,
p028,E10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,PB420,1,,
p028,F10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,ED3102,1,,
p028,A11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,ECA2666,1,,
p028,B11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,JU3237,1,,
p028,C11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,VX34,1,,
p028,D11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,NIC1667,1,,
p028,E11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,PB420,1,,
p028,F11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,ED3102,1,,
p028,A12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,ECA2666,1,,
p028,B12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,JU3237,1,,
