Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p034,D09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,NIC1667,1,,,
p034,E09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,PB420,1,,,
p034,F09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,ED3102,1,,,
p034,A10,48h,10,15hHB101,DMSO,1,Closantel,25,,,ECA2666,1,,,
p034,B10,48h,10,15hHB101,DMSO,1,Closantel,25,,,JU3237,1,,,
p034,C10,48h,10,15hHB101,DMSO,1,Closantel,25,,,VX34,1,,,
p034,D10,48h,10,15hHB101,DMSO,1,Closantel,25,,,NIC1667,1,,,
p034,E10,48h,10,15hHB101,DMSO,1,Closantel,25,,,PB420,1,,,
p034,F10,48h,10,15hHB101,DMSO,1,Closantel,25,,,ED3102,1,,,
p034,A11,48h,10,15hHB101,DMSO,1,Closantel,50,,,ECA2666,1,,,
p034,B11,48h,10,15hHB101,DMSO,1,Closantel,50,,,JU3237,1,,,
p034,C11,48h,10,15hHB101,DMSO,1,Closantel,50,,,VX34,1,,,
p034,D11,48h,10,15hHB101,DMSO,1,Closantel,50,,,NIC1667,1,,,
p034,E11,48h,10,15hHB101,DMSO,1,Closantel,50,,,PB420,1,,,
p034,F11,48h,10,15hHB101,DMSO,1,Closantel,50,,,ED3102,1,,,
p034,A12,48h,10,15hHB101,DMSO,1,Closantel,100,,,ECA2666,1,,,
p034,B12,48h,10,15hHB101,DMSO,1,Closantel,100,,,JU3237,1,,,
p034,C12,48h,10,15hHB101,DMSO,1,Closantel,100,,,VX34,1,,,
p034,D12,48h,10,15hHB101,DMSO,1,Closantel,100,,,NIC1667,1,,,
p034,E12,48h,10,15hHB101,DMSO,1,Closantel,100,,,PB420,1,,,
p034,F12,48h,10,15hHB101,DMSO,1,Closantel,100,,,ED3102,1,,,
p035,A01,48h,10,15hHB101,DMSO,1,Closantel,0,,,ECA2666,1,,,
p035,B01,48h,10,15hHB101,DMSO,1,Closantel,0,,,JU3237,1,,,
p035,C01,48h,10,15hHB101,DMSO,1,Closantel,0,,,VX34,1,,,
p035,D01,48h,10,15hHB101,DMSO,1,Closantel,0,,,NIC1667,1,,,
p035,E01,48h,10,15hHB101,DMSO,1,Closantel,0,,,PB420,1,,,
p035,F01,48h,10,15hHB101,DMSO,1,Closantel,0,,,ED3102,1,,,
p035,A02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,ECA2666,1,,,
p035,B02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,JU3237,1,,,
p035,C02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,VX34,1,,,
p035,D02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,NIC1667,1,,,
p035,E02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,PB420,1,,,
p035,F02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,ED3102,1,,,
p035,A03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,ECA2666,1,,,
p035,B03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,JU3237,1,,,
p035,C03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,VX34,1,,,
p035,D03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,NIC1667,1,,,
